Disease,Category,Symptoms,Prevention,Risk_Level
Atrial fibrillation,Cardiovascular,"Feelings of a fast, fluttering or pounding heartbeat, called palpitations; Chest pain; Dizziness; Fatigue; Lightheadedness; Reduced ability to exercise; Shortness of breath; Weakness","Control high blood pressure, high cholesterol and diabetes; Don't smoke or use tobacco; Eat a diet that's low in salt and saturated fat; Exercise at least 30 minutes a day on most days of the week unless your health care team says not to; Get good sleep. Adults should aim for 7 to 9 hours daily; Maintain a healthy weight; Reduce and manage stress",High
Hyperhidrosis,Neurological,The main symptom of hyperhidrosis is heavy sweating,none,High
Bartholin's cyst,Infectious,"If you have a small, noninfected Bartholin's cyst, you may not notice it; A full-blown infection of a Bartholin's cyst can occur in a matter of days. If the cyst becomes infected, you may experience:; A Bartholin's cyst or abscess typically occurs on only one side of the vaginal opening",There's no way to prevent a Bartholin's cyst,High
Infant reflux,Digestive,"Most of the time, infant reflux isn't a cause for concern",none,Medium
Hidradenitis suppurativa,Skin,"Blackheads.Blackheads appear in small, pitted areas of skin, often appearing in pairs; Painful pea-sized lumps; Leaking bumps or sores.Some bumps or sores get bigger, break open and drain pus with an odor; Tunnels.Over time, tunnels might form under the skin, connecting the lumps. These wounds heal slowly, if at all, and drain blood and pus; Some people with this condition experience only mild symptoms",,High
HIV/AIDS,Infectious,The symptoms ofHIVandAIDSvary depending on the person and the phase of infection,"There's no vaccine to preventHIVinfection and no cure forHIV/AIDS. But you can protect yourself and others from infection; To help prevent the spread ofHIV:; Consider preexposure prophylaxis, also called PrEP; Use treatment as prevention, also called TasP; Use post-exposure prophylaxis, also called PEP, if you've been exposed toHIV; Use a new condom every time you have anal or vaginal sex; Tell your sexual partners you haveHIV.It's important to tell all your current and past sexual partners that you'reHIVpositive. They need to be tested; Use clean needles",High
Acute myelogenous leukemia,Cancer,"Fever; Pain. Common places for pain include the bones, back and stomach; Feeling very tired; Paleness or change in skin color; Frequent infections; Easy bruising; Bleeding with no clear cause, such as in the nose or gums; Shortness of breath",,High
Guillain-Barre syndrome,Neurological,"Guillain-Barre syndrome often begins with tingling and weakness starting in the feet and legs and spreading to the upper body and arms; Symptoms of Guillain-Barre syndrome may include:; A pins and needles feeling in the fingers, toes, ankles or wrists; Weakness in the legs that spreads to the upper body; Unsteady walk or not being able to walk or climb stairs; Trouble with facial movements, including speaking, chewing or swallowing; Double vision or inability to move the eyes; Severe pain that may feel achy, shooting or cramplike and may be worse at night",,High
Acute kidney injury,Musculoskeletal,"Less urine output; Fluid buildup, which can cause shortness of breath and swelling in the legs, ankles or feet; Tiredness; Confusion or fogginess; Nausea; Pain in the belly or in the side below the rib cage; Weakness; Irregular heartbeat","Get treated quickly for bad infections; Work with your healthcare team to manage kidney and other ongoing conditions; Read labels when taking pain medicines available without a prescription; Live a healthy lifestyle.Be active and eat a healthy, balanced diet. If you drink alcohol, drink only in moderation",High
Acute lymphocytic leukemia,Cancer,"Bleeding from the gums; Bone pain; Fever; Frequent infections; Frequent or severe nosebleeds; Lumps caused by swollen lymph nodes in and around the neck, armpits, abdomen or groin; Pale skin; Shortness of breath",,High
Radiation sickness,Ear/Nose/Throat,"The severity of radiation sickness symptoms depends on how much radiation you've absorbed; Symptoms also are affected by the type of exposure, such as total or partial body","In the event of a radiation emergency, listen to the radio or watch television to hear what protective actions local, state and federal authorities recommend",High
ARDS,Respiratory,Severe shortness of breath; Labored and rapid breathing that is not usual; Cough; Chest discomfort; Fast heart rate; Confusion and extreme tiredness,,High
Acute sinusitis,Neurological,"Thick, yellow or greenish mucus from the nose, known as a runny nose, or down the back of the throat, known as postnasal drip; Blocked or stuffy nose, known as congestion. This makes it hard to breathe through the nose; Pain, tenderness, swelling and pressure around the eyes, cheeks, nose or forehead that gets worse when bending over; Other signs and symptoms include:; Ear pressure; Headache; Aching in the teeth; Changed sense of smell","Stay well.Try to stay away from people who have colds or other infections. Wash your hands often with soap and water, such as before meals; Manage allergies.Work with your health care provider to keep symptoms under control; Avoid cigarette smoke and polluted air.Tobacco smoke and other pollutants can irritate lungs and inside the nose, known as nasal passages; Use a machine that adds moisture to the air, known as a humidifier",Medium
Autoimmune epilepsy,Neurological,"Focal seizures; Faciobrachial dystonic seizures.These seizures cause muscle contractions on one side of the face and in an arm, both on the same side of the body; Symptoms related to seizures include:; Seizures that happen several times a day; Seizures that don't go away with antiseizure medicines; Seizures that last more than five minutes or that occur close together without the person regaining consciousness, known as status epilepticus; Autoimmune epilepsy symptoms also may include:; Memory loss and trouble with thinking",You may not be able to prevent autoimmune epilepsy,High
Alcohol use disorder,Ear/Nose/Throat,"Being unable to limit the amount of alcohol you drink; Wanting to cut down on how much you drink or making unsuccessful attempts to do so; Spending a lot of time drinking, getting alcohol or recovering from alcohol use; Feeling a strong craving or urge to drink alcohol; Failing to fulfill major obligations at work, school or home due to repeated alcohol use; Continuing to drink alcohol even though you know it's causing physical, social, work or relationship problems; Giving up or reducing social and work activities and hobbies to use alcohol; Using alcohol in situations where it's not safe, such as when driving or swimming","Loss of interest in activities and hobbies and in personal appearance; Red eyes, slurred speech, problems with coordination and memory lapses; Difficulties or changes in relationships with friends, such as joining a new crowd; Declining grades and problems in school; Frequent mood changes and defensive behavior; You can help prevent teenage alcohol use:; Set a good example with your own alcohol use; Talk openly with your child, spend quality time together and become actively involved in your child's life",High
Compulsive gambling,Neurological,Most casual gamblers stop when losing or set a limit on how much they're willing to lose; Some people with a compulsive gambling problem may have periods of remission — a length of time where they gamble less or not at all,"Although there's no proven way to prevent a gambling problem, educational programs that target individuals and groups at increased risk may be helpful; If you have risk factors for compulsive gambling, consider avoiding gambling in any form, people who gamble and places where gambling occurs",Medium
Nicotine dependence,Other,"You can't stop smoking.You've made one or more serious attempts to stop without long-term success; You smoke within 30 minutes of waking up; You have nicotine withdrawal symptoms when you try to stop; You keep smoking despite health conditions.Even though you've developed health conditions linked to smoking, you haven't been able to stop; You give up social activities",The best way to prevent nicotine dependence is to not start using tobacco; The best way to keep children from smoking is to not smoke yourself,High
Mesenteric lymphadenitis,Digestive,"Pain in the stomach area, often on the lower right side, but the pain can be more spread out; General tenderness of the stomach area; Fever; Enlarged mesenteric lymph nodes; Depending on what's causing the condition, symptoms also might include:; Diarrhea; Nausea and vomiting",,High
Attention-deficit/hyperactivity disorder (ADHD) in children,Mental Health,The main features of ADHD include not paying attention and being hyperactive and impulsive; ADHD occurs more often in boys than in girls; There are three types of ADHD:; Predominately inattentive; Predominately hyperactive and impulsive; Combined,"During pregnancy,avoid anything that could harm your baby's development before birth. For example, don't drink alcohol, use drugs or smoke cigarettes; Protect your child from exposure to pollutants and toxins,including cigarette smoke and lead paint; Limit screen time.Although still not proved, it may be a good idea for young children to limit TV, video games and other screen time",Medium
Adult attention-deficit/hyperactivity disorder (ADHD),Mental Health,"Some people withADHDhave fewer symptoms as they age, but some adults continue to have major symptoms that interfere with daily functioning; Many adults withADHDaren't aware they have it — they just know that everyday tasks can be a challenge; AdultADHDsymptoms may include:; Impulsiveness; Disorganization and problems prioritizing; Poor time management skills; Problems focusing on a task; Trouble multitasking",,Low
